Sample ID,Taxon,Count
PA1,UBA2999,18
PA1,Rhodobacteraceae,16
PA1,Rhodocyclaceae,23
PA1,Haloarculaceae,16
PA1,Burkholderiaceae,35
PA1,Natrialbaceae,14
PA1,Binataceae,38
PA1,Haloferacaceae,20
PA1,Thiobacillaceae,38
PA1,Hyphomicrobiaceae,12
PA1,Steroidobacteraceae,10
PA1,unclassified,163
