Taxon,PA1,PS4,PS5,PS6,PS7,PS9
JAUVPY01,0.0,4097.17264359,3674.87634041,7389.88152788,5078.89040466,5991.10919396
JAUZRW01,0.0,0.0,0.0,0.0,2708.74154915,0.0
Kouleothrix,0.0,0.0,2572.41343829,0.0,2370.14885551,0.0
Lentibacillus,5617.91440546,3072.87948269,0.0,0.0,0.0,1932.61586902
Lentibacillus_C,0.0,1707.15526816,0.0,0.0,2031.55616186,1932.61586902
Litorilinea,0.0,0.0,0.0,2258.01935574,0.0,1932.61586902
Lutibacter,0.0,0.0,2204.92580425,0.0,0.0,0.0
Lutimonas,0.0,6145.75896538,9370.93466805,0.0,1862.25981504,5218.06284635
MONJU,0.0,0.0,1837.43817021,0.0,0.0,0.0
Neobacillus,0.0,0.0,2572.41343829,0.0,0.0,0.0
PFL25,0.0,2731.44842906,2756.15725531,0.0,3385.92693644,5218.06284635
PLA2,0.0,0.0,0.0,6979.33255411,2031.55616186,2705.66221663
QQUD01,0.0,0.0,0.0,0.0,1692.96346822,0.0
RBG-16-57-11,8426.87160818,0.0,0.0,0.0,0.0,2125.87745592
Robiginitalea,0.0,4438.60369722,2204.92580425,4721.31319837,2370.14885551,4058.49332494
SG8-38,0.0,9560.06950171,9554.67848507,2052.74486886,3724.51963008,7730.46347607
SKPT01,0.0,0.0,0.0,0.0,2708.74154915,0.0
SSF26,0.0,1877.87079498,0.0,0.0,0.0,0.0
SZUA-252,0.0,0.0,0.0,3079.11730328,0.0,0.0
SZUA-318,0.0,0.0,0.0,2873.8428164,0.0,0.0
SZUA-320,7624.3124074,0.0,0.0,11495.3712656,0.0,0.0
SZUA-442,0.0,3243.59500951,0.0,0.0,0.0,0.0
SZUA-448,0.0,0.0,0.0,2873.8428164,0.0,0.0
Salinibacter,0.0,1707.15526816,0.0,0.0,0.0,0.0
Sedimenticola,0.0,0.0,1837.43817021,0.0,0.0,0.0
Sulfomarinibacter,0.0,6657.90554583,2021.18198723,2052.74486886,0.0,3285.44697733
Sulfuricystis,10834.54921052,0.0,0.0,0.0,0.0,0.0
Thiolapillus,0.0,2048.58632179,0.0,0.0,0.0,0.0
Thiopontia,0.0,0.0,0.0,0.0,1692.96346822,0.0
UBA11865,0.0,14852.25083301,8084.7279489,10674.27331805,11004.26254342,11402.43362721
UBA2376,4012.7960039,0.0,0.0,0.0,0.0,0.0
UBA2589,0.0,2390.01737543,0.0,0.0,0.0,2125.87745592
UBA5066,5216.63480507,0.0,0.0,0.0,0.0,0.0
UBA5069,0.0,0.0,2572.41343829,0.0,0.0,2319.13904282
UBA5189,0.0,0.0,0.0,2463.29384263,2031.55616186,3285.44697733
UBA8401,4012.7960039,0.0,0.0,0.0,0.0,0.0
VFZN01,0.0,0.0,0.0,3694.94076394,0.0,0.0
VGOW01,4414.07560429,0.0,0.0,0.0,0.0,0.0
WFWG01,0.0,0.0,0.0,0.0,2539.44520233,0.0
WS-11,0.0,2731.44842906,1837.43817021,3079.11730328,3047.33424279,2125.87745592
WVWW01,0.0,4438.60369722,5328.5706936,4926.58768526,7110.44656652,6377.63236776
WVYX01,0.0,2048.58632179,0.0,5542.41114591,0.0,3865.23173804
WVZY01,0.0,4609.31922404,2572.41343829,0.0,0.0,2512.40062972
WYBL01,0.0,0.0,0.0,4105.48973771,0.0,0.0
unclassified,322628.79871334,207248.64955483,230414.74654378,220259.52442828,206710.83946948,215679.93098242
