Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Salinibacteraceae,0.0,1707.15526816,0.0,0.0,0.0,0.0
Saprospiraceae,7223.03280702,7511.48317991,6063.54596168,0.0,9480.59542202,9663.07934509
Sedimenticolaceae,0.0,11437.94029668,10840.88520421,5542.41114591,6602.55752605,5797.84760705
Sulfomarinibacteraceae,0.0,6657.90554583,2021.18198723,2052.74486886,0.0,3285.44697733
Tepidiformaceae,4012.7960039,0.0,0.0,3079.11730328,0.0,0.0
Thiotrichaceae,0.0,0.0,2388.66962127,0.0,0.0,0.0
UBA1018,0.0,1707.15526816,2021.18198723,0.0,1692.96346822,2125.87745592
UBA10348,0.0,2560.73290224,1837.43817021,0.0,0.0,2512.40062972
UBA10806,0.0,1707.15526816,0.0,0.0,0.0,0.0
UBA11373,0.0,2560.73290224,3307.38870637,0.0,0.0,3285.44697733
UBA1924,0.0,4267.8881704,3858.62015743,5131.86217214,4571.00136419,5797.84760705
UBA2386,0.0,3072.87948269,0.0,0.0,2539.44520233,2512.40062972
UBA2774,0.0,0.0,0.0,2873.8428164,0.0,0.0
UBA2999,4815.35520468,0.0,0.0,8416.25396231,0.0,0.0
UBA4142,5216.63480507,0.0,0.0,0.0,0.0,0.0
UBA4427,0.0,3926.45711677,4226.10779147,2052.74486886,4232.40867055,3671.97015113
UBA4823,17255.02281676,3414.31053632,3491.13252339,11700.64575248,5078.89040466,9663.07934509
UBA5066,10834.54921052,0.0,0.0,2463.29384263,0.0,1932.61586902
UBA5704,0.0,10584.3626626,7717.24031486,6979.33255411,9649.89176885,7537.20188917
UBA5794,0.0,9560.06950171,6063.54596168,2873.8428164,6771.85387287,9856.34093199
UBA6429,0.0,4097.17264359,2572.41343829,0.0,2200.85250868,2705.66221663
UBA6906,0.0,0.0,0.0,2668.56832951,0.0,0.0
UBA6930,0.0,2560.73290224,2021.18198723,0.0,1692.96346822,1932.61586902
UBA6960,0.0,21510.15637884,17639.40643397,16832.50792462,12697.22601164,16813.75806046
UBA8401,10031.99000974,0.0,1837.43817021,0.0,0.0,0.0
UBA890,0.0,3585.02606314,3858.62015743,0.0,2370.14885551,4445.01649874
VGOW01,4414.07560429,0.0,0.0,0.0,0.0,0.0
WVZY01,0.0,4609.31922404,2572.41343829,0.0,0.0,2512.40062972
ZC4RG35,0.0,3243.59500951,2572.41343829,2873.8428164,3047.33424279,2705.66221663
unclassified,180977.09977576,88089.21183714,100875.35554429,101405.5965215,104117.25329544,97017.31662471
