Taxon,PA1,PS4,PS5,PS6,PS7,PS9
UBA10806,0.0,4097.17264359,2388.66962127,2463.29384263,3047.33424279,0.0
UBA2386,0.0,3585.02606314,2204.92580425,0.0,3047.33424279,3092.18539043
UBA2774,0.0,0.0,0.0,3284.39179017,0.0,0.0
UBA4142,5617.91440546,0.0,0.0,0.0,0.0,0.0
UBA4738,5216.63480507,0.0,0.0,9442.62639674,0.0,2125.87745592
UBA5066,10834.54921052,0.0,0.0,2463.29384263,0.0,1932.61586902
UBA5794,0.0,19290.85453023,13780.78627654,6979.33255411,12697.22601164,21645.297733
UBA6429,0.0,4097.17264359,2572.41343829,0.0,2200.85250868,2705.66221663
UBA890,0.0,3585.02606314,3858.62015743,0.0,2370.14885551,4445.01649874
UBA9160,0.0,11779.37135032,9922.16611911,3900.21525083,8972.70638156,10049.60251889
Verrucomicrobiales,4815.35520468,0.0,0.0,0.0,0.0,0.0
Vicinamibacterales,20465.25961988,2219.30184861,3123.64488935,16421.95895085,0.0,2512.40062972
WVZY01,0.0,4609.31922404,2756.15725531,2668.56832951,0.0,2512.40062972
unclassified,113160.8473099,56336.12384933,59165.50908062,61582.34606569,62639.64832408,67061.77065493
