#OTU ID	PA1	PS4	PS5	PS6	PS7	PS9
OTU_10	1	0	0	5	10	3
OTU_1011	0	0	0	0	4	0
OTU_1015	0	3	1	1	3	5
OTU_1018	0	2	4	0	0	2
OTU_1023	3	0	0	2	4	1
OTU_1027	1	0	0	3	2	1
OTU_1041	0	2	2	0	0	0
OTU_1048	0	2	0	2	0	0
OTU_1053	0	4	0	0	0	0
OTU_1061	0	0	0	5	0	0
OTU_107	0	4	0	2	0	0
OTU_1082	1	2	1	7	1	1
OTU_109	0	6	2	1	0	6
OTU_1104	0	6	1	6	0	1
OTU_111	4	1	1	17	0	0
OTU_1135	0	0	0	4	0	2
OTU_1173	0	0	0	1	2	3
OTU_1185	0	0	5	3	0	0
OTU_119	0	0	0	0	6	0
OTU_1192	0	0	2	6	1	1
OTU_1197	0	8	2	0	0	0
OTU_12	0	0	0	6	4	0
OTU_1201	0	5	0	0	0	3
OTU_1203	1	5	2	3	9	0
OTU_1224	0	0	4	0	2	0
OTU_124	0	10	2	4	0	2
OTU_1240	0	0	0	1	2	3
OTU_1246	1	1	3	0	0	9
OTU_1263	0	3	2	0	0	1
OTU_1282	2	0	5	4	0	6
OTU_1300	5	2	3	2	6	3
OTU_1308	0	0	2	0	2	0
OTU_1317	0	2	0	0	2	2
OTU_1318	0	1	0	1	4	0
OTU_1323	0	3	4	2	5	5
OTU_1349	0	5	0	0	0	0
OTU_135	0	3	5	1	10	1
OTU_1366	0	0	0	2	2	0
OTU_1367	0	2	0	3	0	0
OTU_1368	0	0	3	2	0	1
OTU_1387	0	2	8	0	0	0
OTU_1416	0	1	3	0	0	0
OTU_142	0	4	2	0	2	0
OTU_1421	0	0	2	0	2	0
OTU_1462	0	2	0	0	0	0
OTU_1467	2	2	2	0	0	0
OTU_148	0	4	0	1	2	1
OTU_1490	2	0	3	0	0	0
OTU_1492	0	2	5	2	4	0
OTU_1516	0	2	0	4	0	0
OTU_1526	0	6	0	0	0	0
OTU_155	0	0	0	17	1	3
OTU_1557	0	0	2	2	2	0
OTU_1571	0	3	2	3	0	9
OTU_1574	0	6	0	0	6	7
OTU_1585	0	1	2	5	2	2
OTU_1606	0	6	0	1	1	3
OTU_1608	10	0	7	2	3	0
OTU_1629	0	0	4	0	2	0
OTU_163	0	0	1	2	0	6
OTU_1657	0	0	0	0	0	4
OTU_1669	0	0	0	2	6	0
OTU_1676	0	3	5	5	3	3
OTU_1678	0	2	0	3	2	2
OTU_1687	0	0	2	0	2	0
OTU_1703	0	0	2	0	6	0
OTU_1710	2	0	1	4	2	4
OTU_1716	0	0	0	2	4	2
OTU_1725	2	2	1	3	0	2
OTU_1726	2	3	8	0	1	2
OTU_1728	0	0	0	0	0	4
OTU_1729	0	0	0	4	0	2
OTU_1740	0	0	1	4	2	0
OTU_1757	0	0	2	0	2	0
OTU_179	0	6	2	0	0	0
OTU_1812	0	0	4	2	2	0
OTU_1828	0	0	2	3	0	2
OTU_183	4	5	7	2	1	5
OTU_1832	0	0	2	0	2	0
OTU_1843	3	3	1	0	0	3
OTU_185	0	4	1	2	0	1
OTU_1856	0	0	2	0	0	2
OTU_1861	0	0	2	9	0	0
OTU_1863	2	0	0	9	0	1
OTU_1873	0	1	1	2	5	2
OTU_1884	0	0	0	5	3	5
OTU_1886	0	1	1	5	1	0
