#OTU ID	PA1	PS4	PS5	PS6	PS7	PS9
OTU_2105	0	0.008333	0	0	0	0
OTU_2106	0	0.004167	0.008333	0	0.004167	0
OTU_2122	0.004167	0.004167	0.01667	0	0.004167	0
OTU_2133	0.025	0	0	0	0	0.004167
OTU_214	0.004167	0	0.008333	0	0	0.02083
OTU_2145	0	0.004167	0.008333	0	0	0.0125
OTU_215	0	0	0	0	0.008333	0.004167
OTU_217	0.02917	0	0	0	0	0
OTU_2172	0.025	0.004167	0.02083	0.004167	0.0125	0
OTU_2179	0	0.004167	0.01667	0	0.008333	0
OTU_2180	0.004167	0.004167	0.0125	0.008333	0.004167	0
OTU_2185	0	0	0.0125	0.004167	0.004167	0.004167
OTU_2198	0	0.008333	0.004167	0.004167	0.02083	0.02083
OTU_2202	0	0	0.004167	0	0	0
OTU_2207	0	0.01667	0.01667	0.01667	0.008333	0.0125
OTU_221	0	0.004167	0.004167	0	0	0
OTU_2214	0	0	0.0125	0	0.004167	0
OTU_2215	0	0	0.008333	0	0.004167	0
OTU_2216	0.004167	0	0.004167	0	0.004167	0.008333
OTU_2230	0.0125	0.004167	0.01667	0	0.004167	0
OTU_225	0	0.01667	0.008333	0.004167	0.004167	0.008333
OTU_2255	0	0	0.01667	0	0.008333	0
OTU_2257	0.04583	0	0	0.004167	0	0.004167
OTU_2274	0.008333	0.004167	0.004167	0	0.01667	0
OTU_2275	0	0.008333	0.0125	0	0	0.0125
OTU_228	0	0	0.008333	0	0.02917	0.004167
OTU_2280	0	0	0.0125	0	0	0.02083
OTU_2291	0.008333	0.004167	0.004167	0	0	0.004167
OTU_2293	0	0	0.008333	0	0	0.004167
OTU_2294	0	0	0	0.004167	0	0
OTU_2299	0	0	0.008333	0.004167	0.004167	0
OTU_2304	0.008333	0.004167	0	0	0	0
OTU_231	0	0.004167	0	0.008333	0.0125	0.004167
OTU_2313	0.0375	0	0	0.008333	0	0
OTU_232	0	0	0.004167	0	0	0
OTU_2324	0	0	0	0	0	0.025
OTU_2330	0	0	0	0	0.008333	0
OTU_2335	0	0	0	0.004167	0	0.004167
OTU_234	0	0.004167	0	0	0.004167	0
OTU_2344	0	0.01667	0	0.004167	0.008333	0
OTU_2348	0	0	0.008333	0	0	0
OTU_2354	0.008333	0.008333	0.004167	0	0.008333	0
OTU_2358	0.025	0	0	0	0	0
OTU_2359	0.025	0	0	0	0	0
OTU_236	0	0	0	0	0.004167	0
OTU_2375	0	0.008333	0.004167	0.004167	0.0125	0.0125
OTU_2380	0.04167	0.004167	0.004167	0	0.004167	0.004167
OTU_2388	0.05	0.004167	0	0	0.008333	0
OTU_2393	0	0	0	0	0	0.008333
OTU_2404	0	0	0	0	0.004167	0
OTU_2408	0	0	0	0.004167	0.004167	0
OTU_2416	0	0	0.008333	0.004167	0.0125	0
OTU_2419	0.02917	0	0	0	0	0
OTU_242	0	0.004167	0.004167	0	0	0.004167
OTU_2421	0.004167	0.01667	0.008333	0	0	0.008333
OTU_2435	0	0	0	0.004167	0.008333	0
OTU_2437	0	0.004167	0	0.008333	0	0.004167
OTU_2438	0	0.004167	0	0.004167	0	0.004167
OTU_2439	0	0.004167	0	0	0.004167	0
OTU_244	0	0	0.004167	0	0	0
OTU_2444	0.02917	0	0	0	0	0
OTU_2448	0	0.004167	0	0	0.004167	0.004167
OTU_2452	0	0.004167	0	0	0	0.004167
OTU_2490	0	0.004167	0	0	0	0
OTU_2496	0	0	0	0	0.008333	0
OTU_2497	0.0125	0.004167	0	0.008333	0.004167	0
OTU_2502	0.004167	0	0	0.008333	0	0.004167
OTU_2512	0	0	0	0	0.004167	0.01667
OTU_2515	0	0.0375	0	0	0.01667	0
OTU_254	0.01667	0	0	0.008333	0	0
OTU_2543	0	0.004167	0	0	0	0.01667
OTU_2548	0	0	0	0	0	0
OTU_2552	0	0.008333	0	0	0	0.0125
OTU_2560	0	0	0	0.008333	0.004167	0.004167
OTU_2564	0	0	0	0	0.01667	0
OTU_2565	0	0	0.004167	0	0	0.004167
OTU_2568	0.01667	0	0	0	0	0
OTU_2590	0	0.004167	0.004167	0	0	0
OTU_2595	0	0	0	0	0.004167	0
OTU_2601	0	0	0	0	0.004167	0
OTU_261	0	0	0	0	0.004167	0.008333
OTU_2618	0.01667	0.0125	0.004167	0	0.008333	0.01667
OTU_2619	0	0.0125	0.008333	0.0125	0	0.008333
OTU_262	0	0.0125	0	0.004167	0	0.008333
OTU_27	0	0.02083	0.01667	0.004167	0.008333	0.004167
OTU_275	0	0.004167	0.004167	0	0	0.008333
OTU_278	0	0.004167	0	0	0.01667	0
OTU_295	0	0	0	0.0125	0	0
OTU_306	0	0	0.0125	0.008333	0.004167	0
OTU_308	0.025	0	0.008333	0	0	0.008333
OTU_339	0	0.004167	0.008333	0	0	0
OTU_371	0	0	0	0.004167	0.008333	0
OTU_416	0	0	0	0	0	0
OTU_420	0.004167	0.004167	0.004167	0.008333	0.004167	0.004167
OTU_439	0	0	0.0125	0	0	0
OTU_448	0	0.01667	0.004167	0.004167	0	0.004167
OTU_461	0.008333	0.004167	0	0	0	0
OTU_462	0	0	0.004167	0	0	0.008333
OTU_473	0	0.004167	0.008333	0.02917	0.008333	0.004167
OTU_48	0	0	0	0	0.008333	0
OTU_482	0	0.004167	0	0	0	0
OTU_486	0	0.004167	0.0125	0	0	0.008333
OTU_494	0.008333	0.0125	0	0	0	0
OTU_503	0	0	0	0	0.004167	0
OTU_517	0.004167	0.008333	0.01667	0.0125	0	0.008333
OTU_521	0	0.004167	0.004167	0	0.008333	0
OTU_524	0	0	0	0.004167	0	0
OTU_527	0	0	0	0.004167	0	0.004167
OTU_530	0	0.004167	0.02917	0.004167	0.004167	0.02083
OTU_548	0	0.004167	0.004167	0	0	0.008333
OTU_549	0	0	0	0	0.004167	0.004167
OTU_550	0	0.008333	0	0.004167	0	0
OTU_556	0	0	0	0.0125	0	0
OTU_56	0	0	0.01667	0	0	0
OTU_568	0	0.008333	0	0.008333	0.004167	0.008333
OTU_571	0	0	0	0.0125	0	0
OTU_572	0.004167	0	0	0.008333	0	0.004167
OTU_573	0.004167	0	0.004167	0	0.0125	0.008333
OTU_574	0	0.004167	0.004167	0.02917	0	0.008333
OTU_575	0	0	0	0.01667	0.008333	0
OTU_578	0.008333	0	0.004167	0.0125	0.008333	0
OTU_58	0	0	0	0.004167	0.008333	0.004167
OTU_580	0	0.004167	0.004167	0.008333	0.0125	0.004167
OTU_583	0	0.008333	0.004167	0.004167	0.004167	0.004167
OTU_589	0	0	0.004167	0	0	0
OTU_59	0	0	0	0.008333	0	0
OTU_596	0	0	0	0	0	0.004167
OTU_597	0	0.004167	0	0	0.004167	0
OTU_6	0	0	0	0.0125	0	0.02083
OTU_615	0	0.008333	0.004167	0.0125	0	0.004167
OTU_630	0	0.004167	0	0	0	0
OTU_635	0	0	0.0125	0	0	0
OTU_67	0	0.008333	0.004167	0	0	0.004167
OTU_678	0.004167	0	0	0.0125	0	0
OTU_686	0	0	0	0.004167	0	0.004167
OTU_694	0.008333	0	0	0	0.008333	0
OTU_7	0	0	0	0.008333	0	0
OTU_706	0	0.008333	0	0	0	0
OTU_717	0	0.004167	0.004167	0	0	0.004167
OTU_722	0	0.008333	0	0	0.004167	0.008333
OTU_726	0.008333	0.004167	0.01667	0.004167	0.004167	0.008333
OTU_737	0	0	0.004167	0.008333	0	0
OTU_750	0	0.008333	0	0	0	0
OTU_753	0	0.004167	0	0	0	0.004167
OTU_758	0	0.004167	0.004167	0.004167	0	0.004167
OTU_760	0	0.008333	0	0	0.004167	0.004167
OTU_78	0	0	0	0	0.025	0
OTU_781	0.004167	0.008333	0	0	0.01667	0
OTU_792	0	0	0	0.0125	0.004167	0
OTU_794	0	0	0	0.004167	0	0
OTU_80	0	0.008333	0	0	0.008333	0.004167
OTU_800	0	0.004167	0	0	0.008333	0.004167
OTU_806	0	0	0	0.004167	0.004167	0
OTU_807	0	0	0	0.02083	0	0
OTU_820	0	0.008333	0.008333	0.01667	0	0.0125
OTU_822	0	0.01667	0.004167	0.008333	0	0
OTU_825	0.03333	0.004167	0	0.004167	0.01667	0
OTU_83	0.01667	0.004167	0	0	0	0
OTU_851	0	0.004167	0.01667	0	0.0125	0
OTU_86	0.02083	0.01667	0	0.004167	0	0
OTU_863	0.01667	0	0	0	0	0
OTU_864	0.02083	0.025	0.008333	0.008333	0	0
OTU_881	0	0	0	0	0	0
OTU_9	0	0.004167	0.004167	0	0	0
OTU_913	0	0	0	0	0.008333	0
OTU_949	0	0.004167	0	0.008333	0	0.004167
OTU_959	0	0	0	0.008333	0	0.008333
OTU_965	0	0	0.004167	0	0	0.004167
OTU_976	0	0.008333	0	0.004167	0	0.004167
OTU_977	0.004167	0.004167	0.004167	0	0	0.004167
OTU_979	0.004167	0.008333	0	0.004167	0	0.0125
OTU_98	0	0	0	0	0.004167	0
OTU_986	0	0	0	0	0	0.008333
OTU_991	0	0	0.008333	0	0.01667	0
OTU_997	0	0.004167	0.01667	0.004167	0.008333	0.008333
