#OTU ID	PA1	PS4	PS5	PS6	PS7	PS9
OTU_1314	0	0	0	0	0	0.016
OTU_1318	0	0	0	0.008	0	0.008
OTU_1333	0	0	0	0	0.024	0
OTU_1334	0	0	0	0	0	0.016
OTU_1336	0	0.008	0	0	0.008	0
OTU_1341	0	0	0	0	0.008	0
OTU_1352	0	0	0	0.024	0	0
OTU_136	0	0.016	0	0	0	0
OTU_1364	0	0.024	0.016	0.008	0	0.024
OTU_1368	0	0	0	0.016	0.016	0
OTU_1370	0	0.016	0.008	0	0	0
OTU_138	0.032	0.016	0	0	0	0
OTU_1388	0	0.008	0	0.008	0	0.024
OTU_1391	0.016	0	0.016	0	0	0
OTU_1394	0	0	0.024	0	0.008	0
OTU_1403	0	0	0	0	0	0.032
OTU_1404	0	0	0.008	0	0	0
OTU_1405	0	0.016	0	0	0	0.008
OTU_1410	0	0	0.016	0	0	0
OTU_1413	0	0	0.032	0	0.016	0
OTU_1415	0	0	0	0	0	0
OTU_1418	0.064	0	0	0.008	0	0.008
OTU_1421	0	0	0.04	0	0	0
OTU_1423	0	0	0.008	0	0.024	0
OTU_1424	0	0.032	0	0	0	0.016
OTU_1425	0	0	0.008	0	0	0
OTU_1426	0	0.008	0.008	0	0	0
OTU_1427	0	0	0.032	0	0	0
OTU_1434	0	0	0	0	0.016	0.016
OTU_1436	0	0	0	0.016	0	0
OTU_1442	0	0	0.008	0	0.008	0.008
OTU_1444	0	0	0.008	0.008	0	0
OTU_1448	0	0.016	0	0	0.016	0.008
OTU_1450	0.016	0	0	0.024	0	0.016
OTU_1451	0	0.008	0.008	0	0.008	0
OTU_1456	0	0.008	0.008	0	0.032	0
OTU_1460	0	0.016	0	0	0	0
OTU_1461	0	0.016	0	0	0	0
OTU_1462	0	0.016	0.016	0	0.016	0
OTU_1464	0	0.008	0	0	0	0.016
OTU_1465	0	0	0	0	0	0.008
OTU_1467	0.048	0	0	0	0	0
OTU_1471	0.048	0	0	0	0	0
OTU_1472	0.016	0	0	0	0.008	0
OTU_1473	0.048	0	0	0	0	0
OTU_1482	0	0	0	0.016	0	0.016
OTU_149	0	0.04	0.008	0	0.008	0.024
OTU_1491	0	0	0	0.024	0	0
OTU_1501	0	0.008	0	0	0.008	0
OTU_1506	0	0	0	0	0	0
OTU_1512	0	0.064	0.04	0.008	0.016	0.032
OTU_1515	0.032	0	0	0.016	0	0.016
OTU_1517	0	0	0	0.016	0	0
OTU_1518	0	0	0.008	0	0	0
OTU_1522	0	0.008	0.008	0	0	0
OTU_1527	0	0.016	0	0	0	0
OTU_1528	0	0.016	0	0	0	0
OTU_1533	0	0	0	0.008	0	0.016
OTU_1537	0	0.008	0	0.016	0	0
OTU_1573	0	0	0	0.024	0.008	0
OTU_1577	0.008	0	0	0.016	0.024	0
OTU_1578	0	0	0	0	0.008	0
OTU_1579	0	0	0	0	0	0
OTU_1580	0	0	0.04	0	0.008	0
OTU_1583	0	0	0	0	0.008	0
OTU_1586	0	0	0	0	0.008	0
OTU_1593	0	0	0	0	0.016	0
OTU_1594	0	0.008	0.008	0	0	0
OTU_1604	0.064	0	0	0	0	0
OTU_1611	0.016	0	0	0	0	0
OTU_1616	0	0	0	0.032	0	0
OTU_1617	0	0	0.008	0	0	0.032
OTU_1619	0	0	0	0	0	0.016
OTU_1623	0.032	0.008	0	0	0	0
OTU_1636	0	0	0	0	0	0.032
OTU_164	0.064	0	0	0	0	0
OTU_1644	0	0	0	0.008	0	0
OTU_1651	0.032	0	0	0	0	0
OTU_1652	0	0.024	0.016	0	0	0
OTU_1653	0	0.008	0	0	0.016	0
OTU_1656	0.016	0	0	0.016	0	0.016
OTU_166	0	0	0	0.032	0	0
OTU_1661	0.032	0	0	0	0	0
OTU_1667	0	0.008	0.016	0	0.008	0
OTU_1670	0	0.008	0	0	0.008	0
OTU_1672	0	0	0.032	0.008	0	0.016
OTU_1674	0	0.024	0	0	0	0
OTU_1679	0	0.008	0	0	0	0
OTU_1681	0	0	0.008	0	0	0
OTU_1685	0	0	0.016	0	0	0
OTU_1688	0.016	0.016	0	0	0	0
OTU_1689	0	0	0.016	0	0	0
