"Group","Node","Degree","Betweenness","Closeness","Eigenvector","Modularity","Zi","Pi","Role"
"MS","OTU_825",52,0,0.0192307692307692,5.37938697072991e-16,3,0,0,"Peripheral"
"MS","OTU_83",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_851",52,0,0.0192307692307692,3.94521662929709e-16,3,0,0,"Peripheral"
"MS","OTU_86",53,0,0.0188679245283019,1.48537671403833e-17,2,0,0,"Peripheral"
"MS","OTU_864",52,0,0.0192307692307692,3.68644024811141e-16,3,0,0,"Peripheral"
"MS","OTU_881",34,0,0.0294117647058824,3.63933431142821e-16,4,0,0,"Peripheral"
"MS","OTU_9",26,0,0.0384615384615385,1.80574446951665e-16,5,0,0,"Peripheral"
"MS","OTU_913",34,0,0.0294117647058824,3.26950262664085e-16,4,0,0,"Peripheral"
"MS","OTU_949",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_959",52,0,0.0192307692307692,4.40283823038937e-16,3,0,0,"Peripheral"
"MS","OTU_965",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_976",52,0,0.0192307692307692,5.02898281755989e-16,3,0,0,"Peripheral"
"MS","OTU_977",52,0,0.0192307692307692,4.97203076902934e-16,3,0,0,"Peripheral"
"MS","OTU_979",52,0,0.0192307692307692,3.89008501426177e-16,3,0,0,"Peripheral"
"MS","OTU_98",52,0,0.0192307692307692,4.98342827524811e-16,3,0,0,"Peripheral"
"MS","OTU_986",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_991",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_997",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
