#OTUID	PA1	PS4	PS5	PS6	PS7	PS9
OTU_10	1	0	0	3	3	1
OTU_1011	0	0	0	0	2	0
OTU_1015	0	1	0	0	1	2
OTU_1018	0	0	1	0	0	1
OTU_1023	3	0	0	0	2	0
OTU_1027	1	0	0	1	0	0
OTU_1041	0	0	0	0	0	0
OTU_1048	0	0	0	2	0	0
OTU_1053	0	3	0	0	0	0
OTU_1061	0	0	0	1	0	0
OTU_107	0	0	0	1	0	0
OTU_1082	1	0	0	3	0	0
OTU_109	0	3	1	1	0	3
OTU_1104	0	0	0	1	0	1
OTU_111	4	0	0	7	0	0
OTU_1135	0	0	0	1	0	2
OTU_1173	0	0	0	0	2	1
OTU_1185	0	0	1	1	0	0
OTU_119	0	0	0	0	4	0
OTU_1192	0	0	1	2	0	0
OTU_1197	0	2	0	0	0	0
OTU_12	0	0	0	2	2	0
OTU_1201	0	3	0	0	0	1
OTU_1203	1	1	2	0	1	0
OTU_1224	0	0	0	0	1	0
OTU_124	0	4	1	2	0	2
OTU_1240	0	0	0	1	1	2
OTU_1246	1	0	2	0	0	3
OTU_1263	0	2	1	0	0	0
OTU_1282	2	0	1	2	0	2
OTU_1300	5	0	0	0	1	2
OTU_1308	0	0	1	0	1	0
OTU_1317	0	1	0	0	1	1
OTU_1318	0	0	0	0	1	0
OTU_1323	0	1	2	0	3	3
OTU_1349	0	2	0	0	0	0
OTU_135	0	0	2	1	6	0
OTU_1366	0	0	0	1	0	0
OTU_1367	0	0	0	3	0	0
OTU_1368	0	0	0	0	0	0
OTU_1387	0	1	2	0	0	0
OTU_1416	0	0	0	0	0	0
OTU_142	0	2	1	0	2	0
OTU_1421	0	0	1	0	2	0
OTU_1462	0	2	0	0	0	0
OTU_1467	2	1	0	0	0	0
OTU_148	0	2	0	0	0	0
OTU_1490	2	0	1	0	0	0
OTU_1492	0	1	1	2	3	0
OTU_1516	0	0	0	0	0	0
OTU_1526	0	1	0	0	0	0
OTU_155	0	0	0	8	0	0
