Sample ID,Taxon,Count
PS5,JAACFF01,21
PS5,UBA11865,44
PS5,JAAUQL01,23
PS5,JAMPXJ01,10
PS5,Kouleothrix,14
PS5,JABDKH01,10
PS5,JAFDCJ01,18
PS5,CF-167,10
PS5,JABDQW01,32
PS5,WVWW01,29
PS5,GCA-020352575,10
PS5,Benthicola,15
PS5,JAJDYQ01,10
PS5,JAOTYK01,22
PS5,G020350785,13
PS5,GCA-2748055,13
PS5,IDS-52,32
PS5,Lutimonas,51
PS5,JAUVPY01,20
PS5,PFL25,15
PS5,G020343875,25
PS5,WS-11,10
PS5,JALSRK01,10
PS5,G020351855,17
PS5,CALZJC01,14
PS5,CALZIK01,23
PS5,G020350445,24
PS5,G020344215,14
PS5,JAAYYY01,10
PS5,Bu05,20
PS5,JABDNZ01,29
PS5,JAAEPZ01,10
PS5,Lutibacter,12
PS5,Sulfomarinibacter,11
PS5,SG8-38,52
PS5,Robiginitalea,12
PS5,GCA-001735895,22
PS5,JAGRNP01,17
PS5,CALAKE01,21
PS5,JACZWZ01,12
PS5,JANQQF01,17
PS5,J065,17
PS5,JANQRA01,10
PS5,WVZY01,14
PS5,UBA5069,14
PS5,MONJU,10
PS5,JALGZO01,14
PS5,Eudoraea,10
PS5,Sedimenticola,10
PS5,J095,12
PS5,JANQEY01,15
PS5,Neobacillus,14
PS5,unclassified,1254
