Sample ID,Taxon,Count
PS5,Unclassified_Species_nosZII,86
PS5,UBA11865_sp024638855_nosZII,14
PS5,JAAUQL01_sp022360055_nosZII,14
PS5,unclassified,1555
PS5,JABDKH01_sp013002345_nosZII,10
PS5,JAFDCJ01_sp902749685_nosZII,17
PS5,JABDQW01_sp937998645_nosZII,25
PS5,WVWW01_sp011773795_nosZII,28
PS5,GCA-020352575_sp020352575_nosZII,10
PS5,UBA11865_sp003519205_nosZII,28
PS5,Benthicola_azotiphorus_nosZII,13
PS5,JAJDYQ01_sp026196145_nosZII,10
PS5,JAOTYK01_sp029861955_nosZII,15
PS5,G020350785_sp020350785_nosZII,12
PS5,GCA-2748055_sp024244665_nosZII,11
PS5,IDS-52_sp028284495_nosZII,17
PS5,JAUVPY01_sp030598425_nosZII,20
PS5,PFL25_sp937968125_nosZII,14
PS5,G020343875_sp020343875_nosZII,23
PS5,CALZJC01_sp945787525_nosZII,13
PS5,CALZIK01_sp024224155_nosZII,22
PS5,G020350445_sp030597245_nosZII,21
PS5,JABDNZ01_sp028278645_nosZII,23
PS5,Sulfomarinibacter_sp029938595_nosZII,11
PS5,SG8-38_sp020351445_nosZII,20
PS5,Lutimonas_sp024644745_nosZII,10
PS5,SG8-38_sp024640845_nosZII,13
PS5,GCA-001735895_sp001735895_nosZII,20
PS5,CALAKE01_sp937922775_nosZII,13
PS5,Lutimonas_sp020347545_nosZII,10
PS5,JACZWZ01_sp029263095_nosZII,12
PS5,JANQQF01_sp028285035_nosZII,17
PS5,J065_sp024276295_nosZII,17
PS5,JANQRA01_sp028284765_nosZII,10
PS5,WVZY01_sp011772205_nosZII,12
PS5,JALGZO01_sp025774865_nosZII,11
PS5,JANQEY01_sp028278125_nosZII,11
