Sample ID,Taxon,Count
PS5,Promineifilaceae,109
PS5,Saprospiraceae,33
PS5,Flavobacteriaceae,151
PS5,Cyclobacteriaceae,59
PS5,Magnetovibrionaceae,12
PS5,Thiotrichaceae,13
PS5,UBA1018,11
PS5,Roseiflexaceae,14
PS5,JABDKH01,17
PS5,JAFDCJ01,18
PS5,Rhodocyclaceae,12
PS5,QHBO01,10
PS5,SZUA-229,49
PS5,Polarisedimenticolaceae,51
PS5,Caldilineaceae,44
PS5,JAENVV01,10
PS5,Ignavibacteriaceae,13
PS5,J042,10
PS5,Palauibacteraceae,39
PS5,JAJDYQ01,10
PS5,Sedimenticolaceae,59
PS5,UBA10348,10
PS5,KS3-K002,27
PS5,GCA-2748055,13
PS5,UBA6930,11
PS5,UBA6960,96
PS5,GWC2-71-9,33
PS5,UBA5794,33
PS5,UBA4427,23
PS5,NAK82,45
PS5,UBA4823,19
PS5,UBA8401,10
PS5,RBG-16-71-46,15
PS5,UBA11373,18
PS5,Bryobacteraceae,10
PS5,UBA5704,42
PS5,J102,14
PS5,RPQK01,24
PS5,ARS69,20
PS5,Bu05,20
PS5,Beggiatoaceae,20
PS5,JACNKJ01,10
PS5,UBA6429,14
PS5,Sulfomarinibacteraceae,11
PS5,CSP1-4,20
PS5,SG8-38,52
PS5,GCA-001735895,23
PS5,Chromatiaceae,20
PS5,LZORAL124-64-63,28
PS5,UBA890,21
PS5,UBA1924,21
PS5,J111,41
PS5,JAFDET01,14
PS5,J045,20
PS5,Melioribacteraceae,14
PS5,ZC4RG35,14
PS5,WVZY01,14
PS5,SZUA-252,10
PS5,Amphibacillaceae,12
PS5,Electryoneaceae,15
PS5,DSM-18226,18
PS5,unclassified,549
