Sample ID,Taxon,Count
PS5,Rhodobacterales,126
PS5,Halobacteriales,66
PS5,Enterobacterales,27
PS5,Binatales,52
PS5,Halorutilales,24
PS5,Burkholderiales,56
PS5,Rhizobiales,103
PS5,GCA-001735895,62
PS5,Limisphaerales,34
PS5,Vicinamibacterales,42
PS5,Pseudomonadales,68
PS5,Steroidobacterales,10
PS5,JADFVX01,17
PS5,Chromatiales,13
PS5,UBA8231,12
PS5,Verrucomicrobiales,18
PS5,Polyangiales,12
PS5,Pedosphaerales,16
PS5,GCA-2729495,11
PS5,Kiloniellales,26
PS5,JAHELT01,14
PS5,SZUA-229,38
PS5,UBA9214,24
PS5,UBA9160,19
PS5,unclassified,195
