Sample ID,Taxon,rpkm
PS5,JAACFF01,3858.62015743
PS5,UBA11865,8084.7279489
PS5,JAAUQL01,4226.10779147
PS5,JAMPXJ01,1837.43817021
PS5,Kouleothrix,2572.41343829
PS5,JABDKH01,1837.43817021
PS5,JAFDCJ01,3307.38870637
PS5,CF-167,1837.43817021
PS5,JABDQW01,5879.80214466
PS5,WVWW01,5328.5706936
PS5,GCA-020352575,1837.43817021
PS5,Benthicola,2756.15725531
PS5,JAJDYQ01,1837.43817021
PS5,JAOTYK01,4042.36397445
PS5,G020350785,2388.66962127
PS5,GCA-2748055,2388.66962127
PS5,IDS-52,5879.80214466
PS5,Lutimonas,9370.93466805
PS5,JAUVPY01,3674.87634041
PS5,PFL25,2756.15725531
PS5,G020343875,4593.59542551
PS5,WS-11,1837.43817021
PS5,JALSRK01,1837.43817021
PS5,G020351855,3123.64488935
PS5,CALZJC01,2572.41343829
PS5,CALZIK01,4226.10779147
PS5,G020350445,4409.85160849
PS5,G020344215,2572.41343829
PS5,JAAYYY01,1837.43817021
PS5,Bu05,3674.87634041
PS5,JABDNZ01,5328.5706936
PS5,JAAEPZ01,1837.43817021
PS5,Lutibacter,2204.92580425
PS5,Sulfomarinibacter,2021.18198723
PS5,SG8-38,9554.67848507
PS5,Robiginitalea,2204.92580425
PS5,GCA-001735895,4042.36397445
PS5,JAGRNP01,3123.64488935
PS5,CALAKE01,3858.62015743
PS5,JACZWZ01,2204.92580425
PS5,JANQQF01,3123.64488935
PS5,J065,3123.64488935
PS5,JANQRA01,1837.43817021
PS5,WVZY01,2572.41343829
PS5,UBA5069,2572.41343829
PS5,MONJU,1837.43817021
PS5,JALGZO01,2572.41343829
PS5,Eudoraea,1837.43817021
PS5,Sedimenticola,1837.43817021
PS5,J095,2204.92580425
PS5,JANQEY01,2756.15725531
PS5,Neobacillus,2572.41343829
PS5,unclassified,230414.74654378
