Sample ID,Taxon,Count
PS5,Rhodobacteraceae,123
PS5,Haloferacaceae,22
PS5,Binataceae,52
PS5,JAHENH01,24
PS5,Methyloligellaceae,18
PS5,Rhizobiaceae,16
PS5,Burkholderiaceae,29
PS5,GCA-001735895,62
PS5,UBA2999,40
PS5,Pseudomonadaceae,12
PS5,Hyphomicrobiaceae,27
PS5,Haloarculaceae,34
PS5,J093,10
PS5,Halieaceae,25
PS5,Steroidobacteraceae,10
PS5,JADFVX01,17
PS5,Sedimenticolaceae,13
PS5,UBA8231,12
PS5,GCA-002770795,10
PS5,UBA3939,12
PS5,GCA-2729495,11
PS5,UBA11358,14
PS5,Rhodocyclaceae,17
PS5,JAHELT01,14
PS5,DEV007,12
PS5,SZUA-229,38
PS5,Stappiaceae,14
PS5,UBA9214,24
PS5,SMWR01,10
PS5,unclassified,363
