Sample ID,Taxon,rpkm
PS5,Unclassified_Species_nosZII,15801.96826377
PS5,UBA11865_sp024638855_nosZII,2572.41343829
PS5,JAAUQL01_sp022360055_nosZII,2572.41343829
PS5,unclassified,285721.63546697
PS5,JABDKH01_sp013002345_nosZII,1837.43817021
PS5,JAFDCJ01_sp902749685_nosZII,3123.64488935
PS5,JABDQW01_sp937998645_nosZII,4593.59542551
PS5,WVWW01_sp011773795_nosZII,5144.82687658
PS5,GCA-020352575_sp020352575_nosZII,1837.43817021
PS5,UBA11865_sp003519205_nosZII,5144.82687658
PS5,Benthicola_azotiphorus_nosZII,2388.66962127
PS5,JAJDYQ01_sp026196145_nosZII,1837.43817021
PS5,JAOTYK01_sp029861955_nosZII,2756.15725531
PS5,G020350785_sp020350785_nosZII,2204.92580425
PS5,GCA-2748055_sp024244665_nosZII,2021.18198723
PS5,IDS-52_sp028284495_nosZII,3123.64488935
PS5,JAUVPY01_sp030598425_nosZII,3674.87634041
PS5,PFL25_sp937968125_nosZII,2572.41343829
PS5,G020343875_sp020343875_nosZII,4226.10779147
PS5,CALZJC01_sp945787525_nosZII,2388.66962127
PS5,CALZIK01_sp024224155_nosZII,4042.36397445
PS5,G020350445_sp030597245_nosZII,3858.62015743
PS5,JABDNZ01_sp028278645_nosZII,4226.10779147
PS5,Sulfomarinibacter_sp029938595_nosZII,2021.18198723
PS5,SG8-38_sp020351445_nosZII,3674.87634041
PS5,Lutimonas_sp024644745_nosZII,1837.43817021
PS5,SG8-38_sp024640845_nosZII,2388.66962127
PS5,GCA-001735895_sp001735895_nosZII,3674.87634041
PS5,CALAKE01_sp937922775_nosZII,2388.66962127
PS5,Lutimonas_sp020347545_nosZII,1837.43817021
PS5,JACZWZ01_sp029263095_nosZII,2204.92580425
PS5,JANQQF01_sp028285035_nosZII,3123.64488935
PS5,J065_sp024276295_nosZII,3123.64488935
PS5,JANQRA01_sp028284765_nosZII,1837.43817021
PS5,WVZY01_sp011772205_nosZII,2204.92580425
PS5,JALGZO01_sp025774865_nosZII,2021.18198723
PS5,JANQEY01_sp028278125_nosZII,2021.18198723
