Sample ID,Taxon,rpkm
PS5,Rhodobacteraceae,24083.64661654
PS5,Haloferacaceae,4307.64411028
PS5,Binataceae,10181.70426065
PS5,JAHENH01,4699.2481203
PS5,Methyloligellaceae,3524.43609023
PS5,Rhizobiaceae,3132.8320802
PS5,Burkholderiaceae,5678.25814536
PS5,GCA-001735895,12139.72431078
PS5,UBA2999,7832.0802005
PS5,Pseudomonadaceae,2349.62406015
PS5,Hyphomicrobiaceae,5286.65413534
PS5,Haloarculaceae,6657.26817043
PS5,J093,1958.02005013
PS5,Halieaceae,4895.05012531
PS5,Steroidobacteraceae,1958.02005013
PS5,JADFVX01,3328.63408521
PS5,Sedimenticolaceae,2545.42606516
PS5,UBA8231,2349.62406015
PS5,GCA-002770795,1958.02005013
PS5,UBA3939,2349.62406015
PS5,GCA-2729495,2153.82205514
PS5,UBA11358,2741.22807018
PS5,Rhodocyclaceae,3328.63408521
PS5,JAHELT01,2741.22807018
PS5,DEV007,2349.62406015
PS5,SZUA-229,7440.47619048
PS5,Stappiaceae,2741.22807018
PS5,UBA9214,4699.2481203
PS5,SMWR01,1958.02005013
PS5,unclassified,71076.12781955
