Sample ID,Taxon,Count
PS5,Promineifilales,109
PS5,Bacteroidales,30
PS5,Chitinophagales,36
PS5,Flavobacteriales,166
PS5,Cytophagales,61
PS5,Rhodospirillales_A,27
PS5,Thiotrichales,13
PS5,UBA1018,11
PS5,Chloroflexales,14
PS5,Rhodothermales,41
PS5,Desulfobacterales,23
PS5,Burkholderiales,13
PS5,QHBO01,10
PS5,SZUA-229,49
PS5,Polarisedimenticolales,51
PS5,Caldilineales,44
PS5,UBA5794,75
PS5,Anaerolineales,35
PS5,Ignavibacteriales,27
PS5,RBG-13-44-9,15
PS5,Palauibacterales,66
PS5,JAJDYQ01,10
PS5,Chromatiales,79
PS5,UBA9160,54
PS5,Longimicrobiales,99
PS5,Gemmatimonadales,38
PS5,4572-78,86
PS5,UBA10030,14
PS5,RBG-16-71-46,15
PS5,UBA10806,13
PS5,Bryobacterales,10
PS5,Multivoradales,42
PS5,J102,14
PS5,RPQK01,24
PS5,ARS69,20
PS5,Rhizobiales,26
PS5,Aggregatilineales,14
PS5,Vicinamibacterales,17
PS5,Limnochordales,20
PS5,Beggiatoales,20
PS5,JACNKJ01,10
PS5,UBA6429,14
PS5,Phycisphaerales,33
PS5,Thermomicrobiales,11
PS5,Thermoanaerobaculales,11
PS5,Polyangiales,54
PS5,GCA-001735895,23
PS5,Limnocylindrales,15
PS5,LZORAL124-64-63,28
PS5,UBA890,21
PS5,GN15,13
PS5,UBA2386,12
PS5,J045,20
PS5,WVZY01,15
PS5,SZUA-252,10
PS5,Bacillales_D,12
PS5,Electryoneales,15
PS5,Bacillales_B,18
PS5,unclassified,322
