Sample ID,Taxon,rpkm
PS7,Pseudomonadota,41985.49401182
PS7,Desulfobacterota,6941.1502197
PS7,Bacteroidota,57052.86887896
PS7,Marinisomatota,3555.22328326
PS7,Acidobacteriota,36060.12187305
PS7,Chloroflexota,90912.13824333
PS7,Zixibacteria,6433.26117923
PS7,Eisenbacteria,4063.11232372
PS7,Planctomycetota,17606.82006947
PS7,Myxococcota_A,9142.00272838
PS7,Electryoneota,6771.85387287
PS7,Actinomycetota,16083.15294808
PS7,Gemmatimonadota,25902.34106374
PS7,KSB1,3385.92693644
PS7,Krumholzibacteriota,6433.26117923
PS7,SAR324,1692.96346822
PS7,Myxococcota,8803.41003474
PS7,ARS69,4063.11232372
PS7,Calditrichota,2878.03789597
PS7,Bacillota_G,3724.51963008
PS7,Bdellovibrionota,4063.11232372
PS7,Campylobacterota,1862.25981504
PS7,Bacillota,5586.77944512
PS7,unclassified,12866.52235846
