Sample ID,Taxon,Count
PS7,Gammaproteobacteria,203
PS7,Bacteroidia,245
PS7,Marinisomatia,15
PS7,Terriglobia,18
PS7,Anaerolineae,466
PS7,MSB-5A5,38
PS7,Desulfobacteria,25
PS7,RBG-16-71-46,24
PS7,Phycisphaerae,68
PS7,Thermoanaerobaculia,69
PS7,UBA9160,54
PS7,Electryoneia,34
PS7,Polarisedimenticolia,80
PS7,Acidimicrobiia,92
PS7,Gemmatimonadetes,153
PS7,UBA6911,15
PS7,UBA2214,20
PS7,Krumholzibacteria,38
PS7,SAR324,10
PS7,Dehalococcoidia,23
PS7,Ignavibacteria,18
PS7,Polyangia,36
PS7,Rhodothermia,49
PS7,ARS69,24
PS7,Calditrichia,17
PS7,Alphaproteobacteria,46
PS7,Limnochordia,22
PS7,UBA1135,26
PS7,Campylobacteria,11
PS7,Kapaibacteriia,12
PS7,Vicinamibacteria,10
PS7,UBA1018,10
PS7,Bacilli,37
PS7,SZUA-365,10
PS7,Limnocylindria,22
PS7,UBA890,14
PS7,Myxococcia,11
PS7,Ellin6529,10
PS7,Chloroflexia,16
PS7,Desulfomonilia,12
PS7,unclassified,129
