Sample ID,Taxon,rpkm
PS7,SZUA-229,8464.81734109
PS7,Flavobacteriaceae,15236.67121397
PS7,Bryobacteraceae,3047.33424279
PS7,Promineifilaceae,25563.7483701
PS7,4484-95,1862.25981504
PS7,RBG-16-71-46,3385.92693644
PS7,UBA1924,4571.00136419
PS7,UBA5704,9649.89176885
PS7,Cyclobacteriaceae,8464.81734109
PS7,JAFDCJ01,3724.51963008
PS7,UBA4427,4232.40867055
PS7,Electryoneaceae,5756.07579194
PS7,J045,3724.51963008
PS7,ZC4RG35,3047.33424279
PS7,Promineofilaceae,1862.25981504
PS7,Sedimenticolaceae,6602.55752605
PS7,NAK82,8634.11368791
PS7,UBA6960,12697.22601164
PS7,Chromatiaceae,2878.03789597
PS7,RPQK01,2539.44520233
PS7,Polarisedimenticolaceae,9819.18811567
PS7,LZORAL124-64-63,5248.18675148
PS7,UBA4823,5078.89040466
PS7,J111,13882.30043939
PS7,UBA5794,6771.85387287
PS7,GCA-001735895,5417.4830983
PS7,GWC2-71-9,7110.44656652
PS7,Caldilineaceae,5925.37213876
PS7,Ardenticatenaceae,4063.11232372
PS7,Melioribacteraceae,1692.96346822
PS7,Saprospiraceae,9480.59542202
PS7,JABDKH01,2539.44520233
PS7,ARS69,4063.11232372
PS7,UBA6429,2200.85250868
PS7,UBA6930,1692.96346822
PS7,Bu05,3724.51963008
PS7,UBA2386,2539.44520233
PS7,SM1A02,2031.55616186
PS7,Phototrophicaceae,8295.52099427
PS7,SG8-38,3724.51963008
PS7,Palauibacteraceae,2878.03789597
PS7,PLA2,2031.55616186
PS7,GCF-002020875,1692.96346822
PS7,Phycisphaeraceae,3047.33424279
PS7,GCA-2748055,2708.74154915
PS7,UBA1018,1692.96346822
PS7,JAFDET01,2370.14885551
PS7,JAADGX01,1692.96346822
PS7,CSP1-4,2708.74154915
PS7,P2-11E,2200.85250868
PS7,UBA890,2370.14885551
PS7,JAENVV01,2031.55616186
PS7,Amphibacillaceae,2708.74154915
PS7,Roseiflexaceae,2370.14885551
PS7,unclassified,104117.25329544
