Sample ID,Taxon,Count
PS7,Alphaproteobacteria,325
PS7,Binatia,47
PS7,Gammaproteobacteria,537
PS7,Polyangia,39
PS7,Halobacteria,72
PS7,Verrucomicrobiae,53
PS7,JADFVX01,27
PS7,UBA796,30
PS7,UBA9160,22
PS7,Vicinamibacteria,33
PS7,Thermodesulfovibrionia,26
PS7,Bdellovibrionia,10
PS7,UBA2968,16
PS7,unclassified,38
