Sample ID,Taxon,rpkm
PS7,JABDQW01_sp937998645_nosZII,3216.63058962
PS7,unclassified,263255.81930798
PS7,JALSRK01_sp026984795_nosZII,2370.14885551
PS7,UBA11865_sp003519205_nosZII,5925.37213876
PS7,CALZIK01_sp024224155_nosZII,3893.8159769
PS7,JANQEY01_sp028278125_nosZII,5417.4830983
PS7,JAAUQL01_sp022360055_nosZII,1692.96346822
PS7,J065_sp024276295_nosZII,2370.14885551
PS7,G020343875_sp020343875_nosZII,3555.22328326
PS7,WVWW01_sp011773795_nosZII,7110.44656652
PS7,QQUD01_sp008501785_nosZII,1692.96346822
PS7,JAUVPY01_sp030598425_nosZII,5078.89040466
PS7,JAOTYK01_sp029861955_nosZII,2708.74154915
PS7,PFL25_sp937968125_nosZII,2370.14885551
PS7,JABDQW01_sp021768055_nosZII,2031.55616186
PS7,JAJRVO01_sp024277275_nosZII,3555.22328326
PS7,CALZJC01_sp945787525_nosZII,4571.00136419
PS7,UBA11865_sp024638855_nosZII,3724.51963008
PS7,GCA-001735895_sp001735895_nosZII,4909.59405783
PS7,JABDNZ01_sp028278645_nosZII,4232.40867055
PS7,Unclassified_Species_nosZII,14728.7821735
PS7,JALGZO01_sp025774865_nosZII,2370.14885551
PS7,JAFDCJ01_sp902749685_nosZII,3555.22328326
PS7,SG8-38_sp020351445_nosZII,2370.14885551
PS7,JANQRA01_sp028284765_nosZII,2200.85250868
PS7,Benthicola_azotiphorus_nosZII,1692.96346822
PS7,GCA-2748055_sp024244665_nosZII,2539.44520233
PS7,JAGVTM01_sp020634515_nosZII,1692.96346822
PS7,JAACFF01_sp009937635_nosZII,2031.55616186
PS7,JAUZRW01_sp030950085_nosZII,2370.14885551
PS7,CALAKE01_sp937922775_nosZII,1862.25981504
PS7,JANQQF01_sp028285035_nosZII,3216.63058962
PS7,GCA-020352575_sp020352575_nosZII,1862.25981504
PS7,JAAEQD01_sp024231855_nosZII,1692.96346822
