Sample ID,Taxon,Count
PS4,Polarisedimenticolia,70
PS4,Rhodothermia,51
PS4,MSB-5A5,37
PS4,Gemmatimonadetes,270
PS4,UBA9160,74
PS4,Gammaproteobacteria,282
PS4,Bacteroidia,278
PS4,RBG-16-71-46,23
PS4,Electryoneia,32
PS4,Anaerolineae,363
PS4,Calditrichia,13
PS4,Krumholzibacteria,44
PS4,Phycisphaerae,54
PS4,UBA1135,26
PS4,Vicinamibacteria,16
PS4,Limnochordia,10
PS4,Limnocylindria,25
PS4,Dehalococcoidia,13
PS4,Polyangia,72
PS4,Ellin6529,18
PS4,Acidimicrobiia,137
PS4,Alphaproteobacteria,34
PS4,UBA6911,13
PS4,UBA2214,17
PS4,Ignavibacteria,28
PS4,ARS69,12
PS4,Thermoanaerobaculia,103
PS4,JAGLTZ01,14
PS4,Bacilli,41
PS4,UBA4738,14
PS4,UBA890,21
PS4,Desulfobacteria,13
PS4,Chloroflexia,13
PS4,Terriglobia,13
PS4,Marinisomatia,13
PS4,UBA1018,10
PS4,Myxococcia,13
PS4,Blastocatellia,10
PS4,AABM5-125-24,12
PS4,unclassified,114
