Sample ID,Taxon,rpkm
PS4,Acidobacteriota,42337.45065041
PS4,Bacteroidota,63676.89150243
PS4,Zixibacteria,6316.4744922
PS4,Gemmatimonadota,46093.19224036
PS4,Myxococcota_A,12632.9489844
PS4,Pseudomonadota,53604.67542028
PS4,Eisenbacteria,3926.45711677
PS4,Electryoneota,7511.48317991
PS4,Chloroflexota,73749.10758458
PS4,Calditrichota,2219.30184861
PS4,Krumholzibacteriota,7511.48317991
PS4,Planctomycetota,15022.96635982
PS4,Bacillota_G,1707.15526816
PS4,Marinisomatota,3585.02606314
PS4,Myxococcota,15535.11294027
PS4,Actinomycetota,24583.03586153
PS4,Actinobacteriota,1877.87079498
PS4,KSB1,2902.16395587
PS4,ARS69,2048.58632179
PS4,Bdellovibrionota,3243.59500951
PS4,JAGLTZ01,2390.01737543
PS4,Firmicutes,2731.44842906
PS4,Bacillota,4267.8881704
PS4,Desulfobacterota,3243.59500951
PS4,unclassified,9730.78502852
