Sample ID,Taxon,Count
PS4,Polarisedimenticolales,51
PS4,Rhodothermales,49
PS4,UBA10806,24
PS4,UBA9160,69
PS4,Cytophagales,61
PS4,RBG-16-71-46,17
PS4,Electryoneales,32
PS4,SZUA-229,67
PS4,Palauibacterales,74
PS4,4572-78,70
PS4,RBG-13-44-9,10
PS4,Longimicrobiales,135
PS4,WVZY01,27
PS4,Phycisphaerales,49
PS4,UBA2386,21
PS4,Vicinamibacterales,13
PS4,Limnochordales,10
PS4,Burkholderiales,12
PS4,DUEN01,11
PS4,Bacteroidales,18
PS4,Flavobacteriales,150
PS4,Chromatiales,79
PS4,Promineifilales,171
PS4,Anaerolineales,26
PS4,Caldilineales,33
PS4,Chitinophagales,48
PS4,Polyangiales,65
PS4,QHBO01,14
PS4,Acidimicrobiales,19
PS4,UBA5794,113
PS4,RPQK01,13
PS4,Gemmatimonadales,58
PS4,GN15,13
PS4,JAJDYQ01,14
PS4,Ignavibacteriales,28
PS4,ARS69,12
PS4,UBA6429,24
PS4,Limnocylindrales,18
PS4,J102,19
PS4,Multivoradales,62
PS4,JAGLTZ01,14
PS4,J045,19
PS4,Thermoanaerobaculales,39
PS4,Bacillales_D,28
PS4,LZORAL124-64-63,13
PS4,Rhodospirillales_A,10
PS4,UBA890,21
PS4,Rhodobacterales,10
PS4,Desulfobacterales,13
PS4,DSM-19610,18
PS4,GCA-001735895,11
PS4,Bryobacterales,12
PS4,Marinisomatales,13
PS4,UBA1018,10
PS4,Myxococcales,13
PS4,Rhizobiales,10
PS4,Bacillales_B,10
PS4,DRLW01,11
PS4,Hatepunaeales,12
PS4,unclassified,330
