Sample ID,Taxon,Count
PS4,Acidobacteriota,248
PS4,Bacteroidota,373
PS4,Zixibacteria,37
PS4,Gemmatimonadota,270
PS4,Myxococcota_A,74
PS4,Pseudomonadota,314
PS4,Eisenbacteria,23
PS4,Electryoneota,44
PS4,Chloroflexota,432
PS4,Calditrichota,13
PS4,Krumholzibacteriota,44
PS4,Planctomycetota,88
PS4,Bacillota_G,10
PS4,Marinisomatota,21
PS4,Myxococcota,91
PS4,Actinomycetota,144
PS4,Actinobacteriota,11
PS4,KSB1,17
PS4,ARS69,12
PS4,Bdellovibrionota,19
PS4,JAGLTZ01,14
PS4,Firmicutes,16
PS4,Bacillota,25
PS4,Desulfobacterota,19
PS4,unclassified,57
