Sample ID,Taxon,Count
PS4,Halobacteriales,86
PS4,Burkholderiales,73
PS4,Rhizobiales,115
PS4,Binatales,70
PS4,Vicinamibacterales,44
PS4,Pedosphaerales,18
PS4,Rhodobacterales,103
PS4,UBA9160,53
PS4,Enterobacterales,46
PS4,Xanthomonadales,12
PS4,Halorutilales,16
PS4,Steroidobacterales,14
PS4,Limisphaerales,30
PS4,Magnetococcales,14
PS4,J045,11
PS4,Pseudomonadales,65
PS4,Palsa-1104,16
PS4,Verrucomicrobiales,16
PS4,GCA-001735895,41
PS4,SZUA-229,22
PS4,Polyangiales,13
PS4,Chromatiales,15
PS4,UBA8231,11
PS4,UBA4486,11
PS4,UBA9214,17
PS4,DSM-19610,15
PS4,Kiloniellales,16
PS4,unclassified,168
