Sample ID,Taxon,rpkm
PS4,Haloarculaceae,7640.58679707
PS4,Burkholderiaceae,9459.7741297
PS4,Rhodocyclaceae,2546.86226569
PS4,Rhizobiaceae,3456.45593201
PS4,Binataceae,12734.31132844
PS4,UBA2999,7640.58679707
PS4,Natrialbaceae,4729.88706485
PS4,Rhodobacteraceae,18373.79205961
PS4,SMWR01,4184.13086506
PS4,JAHENH01,2910.69973222
PS4,Steroidobacteraceae,2546.86226569
PS4,J093,2183.02479916
PS4,Alteromonadaceae,4184.13086506
PS4,UBA3939,2910.69973222
PS4,UBA8363,2546.86226569
PS4,UBA11358,2910.69973222
PS4,J045,2001.1060659
PS4,Halieaceae,4184.13086506
PS4,Oleiphilaceae,2728.78099895
PS4,Palsa-1104,2910.69973222
PS4,DEV007,2183.02479916
PS4,GCA-001735895,7458.6680638
PS4,Stappiaceae,3638.37466527
PS4,SZUA-229,4002.2121318
PS4,UBA4427,3638.37466527
PS4,Pseudomonadaceae,2183.02479916
PS4,Sedimenticolaceae,2728.78099895
PS4,Hyphomicrobiaceae,3456.45593201
PS4,UBA8231,2001.1060659
PS4,UBA4486,2001.1060659
PS4,UBA9214,3092.61846548
PS4,DSM-19610,2728.78099895
PS4,unclassified,63853.47537548
