Sample ID,Taxon,Count
PS4,Halomicrobium,34
PS4,JAFAHS01,70
PS4,12-FULL-67-14b,22
PS4,Roseovarius,10
PS4,GCA-2729515,14
PS4,JADZED01,12
PS4,JAHENH01,16
PS4,DSVZ01,12
PS4,Cognaticolwellia,12
PS4,UBA3939,16
PS4,UBA8363,14
PS4,CAIKLQ01,16
PS4,JALUUK01,11
PS4,Halioglobus,19
PS4,PALSA-1104,16
PS4,JAADHD01,12
PS4,GCA-001735895,41
PS4,Natrononativus,10
PS4,WFXD01,10
PS4,UBA9214,13
PS4,Thiogranum,15
PS4,Ruegeria,18
PS4,unclassified,718
