Sample ID,Taxon,Count
PS4,Polarisedimenticolaceae,51
PS4,UBA10806,10
PS4,JAFDET01,27
PS4,Cyclobacteriaceae,57
PS4,RBG-16-71-46,17
PS4,Electryoneaceae,32
PS4,UBA6930,15
PS4,SZUA-229,67
PS4,Palauibacteraceae,51
PS4,NAK82,44
PS4,UBA6960,126
PS4,WVZY01,27
PS4,SM1A02,17
PS4,UBA2386,18
PS4,2-12-FULL-66-21,11
PS4,Bu05,10
PS4,KS3-K002,23
PS4,DUEN01,11
PS4,GCA-2748055,11
PS4,Flavobacteriaceae,141
PS4,Chromatiaceae,12
PS4,Promineifilaceae,171
PS4,UBA4823,20
PS4,Sedimenticolaceae,67
PS4,J111,26
PS4,Saprospiraceae,44
PS4,QHBO01,14
PS4,UBA5794,56
PS4,UBA11373,15
PS4,RPQK01,13
PS4,JABDKH01,11
PS4,GWC2-71-9,49
PS4,SG8-38,57
PS4,MedAcidi-G1,10
PS4,UBA10348,15
PS4,JAJDYQ01,14
PS4,Ignavibacteriaceae,15
PS4,ARS69,12
PS4,UBA6429,24
PS4,UBA1924,25
PS4,CSP1-4,21
PS4,J102,19
PS4,UBA5704,62
PS4,Caldilineaceae,31
PS4,UBA4427,23
PS4,JAGLTZ01,14
PS4,J045,19
PS4,Sulfomarinibacteraceae,39
PS4,Amphibacillaceae,28
PS4,LZORAL124-64-63,13
PS4,UBA890,21
PS4,Rhodobacteraceae,10
PS4,JAFDCJ01,12
PS4,ZC4RG35,19
PS4,DSM-19610,18
PS4,GCA-001735895,11
PS4,Bryobacteraceae,12
PS4,Melioribacteraceae,13
PS4,UBA1018,10
PS4,Salinibacteraceae,10
PS4,JAENVV01,23
PS4,DSM-18226,10
PS4,4484-95,14
PS4,Hatepunaeaceae,12
PS4,unclassified,516
