Sample ID,Taxon,Count
PS4,Haloarculaceae,42
PS4,Burkholderiaceae,52
PS4,Rhodocyclaceae,14
PS4,Rhizobiaceae,19
PS4,Binataceae,70
PS4,UBA2999,42
PS4,Natrialbaceae,26
PS4,Rhodobacteraceae,101
PS4,SMWR01,23
PS4,JAHENH01,16
PS4,Steroidobacteraceae,14
PS4,J093,12
PS4,Alteromonadaceae,23
PS4,UBA3939,16
PS4,UBA8363,14
PS4,UBA11358,16
PS4,J045,11
PS4,Halieaceae,23
PS4,Oleiphilaceae,15
PS4,Palsa-1104,16
PS4,DEV007,12
PS4,GCA-001735895,41
PS4,Stappiaceae,20
PS4,SZUA-229,22
PS4,UBA4427,20
PS4,Pseudomonadaceae,12
PS4,Sedimenticolaceae,15
PS4,Hyphomicrobiaceae,19
PS4,UBA8231,11
PS4,UBA4486,11
PS4,UBA9214,17
PS4,DSM-19610,15
PS4,unclassified,351
