Sample ID,Taxon,Count
PS9,SZUA-229,13
PS9,Rhodobacteraceae,103
PS9,J093,12
PS9,UBA4486,15
PS9,Rhodocyclaceae,23
PS9,SMWR01,14
PS9,Methyloligellaceae,20
PS9,DSM-19610,10
PS9,Binataceae,62
PS9,UBA3939,18
PS9,JADFVX01,10
PS9,Haloarculaceae,42
PS9,Haloferacaceae,10
PS9,Rhizobiaceae,30
PS9,Burkholderiaceae,30
PS9,Alteromonadaceae,12
PS9,JAHENH01,10
PS9,GCA-001735895,29
PS9,Natrialbaceae,10
PS9,Halomonadaceae,11
PS9,UBA2999,18
PS9,Hyphomicrobiaceae,10
PS9,UBA2385,11
PS9,UBA9214,10
PS9,Polyangiaceae,10
PS9,DEV007,11
PS9,Stappiaceae,13
PS9,Halieaceae,19
PS9,UBA4427,13
PS9,unclassified,342
