Sample ID,Taxon,Count
PS9,JABDQW01,23
PS9,CALZIK01,18
PS9,UBA2589,11
PS9,WVYX01,20
PS9,PLA2,14
PS9,UBA11865,59
PS9,JAAETI01,15
PS9,Bu05,16
PS9,Benthicola,27
PS9,JALGVQ01,20
PS9,JAAUQL01,13
PS9,G020350445,30
PS9,JASJAX01,14
PS9,G020350785,15
PS9,PFL25,27
PS9,JAOTYK01,14
PS9,IDS-52,31
PS9,G020343875,31
PS9,WS-11,11
PS9,SG8-38,40
PS9,JACZWZ01,14
PS9,Litorilinea,10
PS9,JAMPXJ01,11
PS9,Lutimonas,27
PS9,JAACFF01,15
PS9,GCA-020352575,30
PS9,IGN2,12
PS9,UBA5189,17
PS9,JALGZO01,15
PS9,Ardenticatena,10
PS9,Sulfomarinibacter,17
PS9,GCA-001735895,10
PS9,CF-167,11
PS9,G020344215,10
PS9,JAUVPY01,31
PS9,JALSRK01,21
PS9,CALAKE01,23
PS9,JAJRVO01,15
PS9,G020351855,15
PS9,Caldilinea,10
PS9,JANQQF01,10
PS9,CAKKPP01,10
PS9,G020351775,11
PS9,JANQRA01,14
PS9,JABDNZ01,24
PS9,Lentibacillus,10
PS9,CALZJC01,14
PS9,J065,15
PS9,RBG-16-57-11,11
PS9,Robiginitalea,21
PS9,WVWW01,33
PS9,JAOTVV01,11
PS9,DSPQ01,10
PS9,JANQEY01,16
PS9,UBA5069,12
PS9,WVZY01,13
PS9,Lentibacillus_C,10
PS9,unclassified,1116
