Sample ID,Taxon,rpkm
PS9,SZUA-229,2677.27692105
PS9,Rhodobacteraceae,21212.27098985
PS9,J093,2471.33254251
PS9,UBA4486,3089.16567813
PS9,Rhodocyclaceae,4736.72070647
PS9,SMWR01,2883.22129959
PS9,Methyloligellaceae,4118.88757084
PS9,DSM-19610,2059.44378542
PS9,Binataceae,12768.55146962
PS9,UBA3939,3706.99881376
PS9,JADFVX01,2059.44378542
PS9,Haloarculaceae,8649.66389877
PS9,Haloferacaceae,2059.44378542
PS9,Rhizobiaceae,6178.33135627
PS9,Burkholderiaceae,6178.33135627
PS9,Alteromonadaceae,2471.33254251
PS9,JAHENH01,2059.44378542
PS9,GCA-001735895,5972.38697773
PS9,Natrialbaceae,2059.44378542
PS9,Halomonadaceae,2265.38816396
PS9,UBA2999,3706.99881376
PS9,Hyphomicrobiaceae,2059.44378542
PS9,UBA2385,2265.38816396
PS9,UBA9214,2059.44378542
PS9,Polyangiaceae,2059.44378542
PS9,DEV007,2265.38816396
PS9,Stappiaceae,2677.27692105
PS9,Halieaceae,3912.9431923
PS9,UBA4427,2677.27692105
PS9,unclassified,70432.97746145
