Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Betaproteobacteria,10.0,0.0,0.0,0.0,0.0,0.0
Gammaproteobacteria,0.0,0.0,0.0,0.0,16.0,0.0
unclassified,3.0,2.0,4.0,2.0,30.0,2.0
