Sample ID,Taxon,Count
PS6,unclassified,1346
PS6,JALGZO01_sp025774865_nosZII,10
PS6,Unclassified_Species_nosZII,263
PS6,JAUVPY01_sp030598425_nosZII,33
PS6,WVYX01_sp020350425_nosZII,19
PS6,G020351775_sp030597435_nosZII,15
PS6,WVWW01_sp011773795_nosZII,23
PS6,VFZN01_sp020851835_nosZII,16
PS6,DSOS01_sp020354045_nosZII,29
PS6,UBA11865_sp003519205_nosZII,32
PS6,G020343875_sp020343875_nosZII,73
PS6,UBA11865_sp024638855_nosZII,17
PS6,G020350785_sp020350785_nosZII,18
PS6,JAICEW01_sp025923995_nosZII,11
PS6,JANQQF01_sp028285035_nosZII,15
PS6,JAGUYW01_sp020061105_nosZII,10
PS6,Benthicola_azotiphorus_nosZII,11
PS6,JALSRK01_sp026984795_nosZII,28
PS6,IDS-52_sp020344755_nosZII,10
PS6,JANQRA01_sp028284765_nosZII,10
PS6,JAOTWJ01_sp029862925_nosZII,16
PS6,JAOUPR01_sp029879725_nosZII,10
PS6,JABDNZ01_sp013043565_nosZII,17
PS6,Sulfomarinibacter_sp029938595_nosZII,10
PS6,JAJRVO01_sp024277275_nosZII,14
PS6,SZUA-318_sp003248075_nosZII,10
PS6,JAHDVQ01_sp023384595_nosZII,11
PS6,CALZIK01_sp024224155_nosZII,14
PS6,JABDNZ01_sp028278645_nosZII,13
PS6,G020351855_sp020351855_nosZII,10
PS6,PLA2_sp011525755_nosZII,21
PS6,WYBL01_sp011526565_nosZII,19
PS6,SZUA-448_sp003252135_nosZII,11
PS6,JANQEY01_sp028278125_nosZII,10
