Sample ID,Taxon,Count
PS6,Bacteroidota,179
PS6,Acidobacteriota,311
PS6,ARS69,15
PS6,Chloroflexota,656
PS6,Bacillota,24
PS6,Actinomycetota,87
PS6,Gemmatimonadota,316
PS6,Eisenbacteria,59
PS6,Zixibacteria,38
PS6,Myxococcota,52
PS6,Pseudomonadota,103
PS6,Krumholzibacteriota,44
PS6,Planctomycetota,91
PS6,Myxococcota_A,22
PS6,Actinobacteriota,23
PS6,Calditrichota,18
PS6,Desulfobacterota,10
PS6,KSB1,15
PS6,Electryoneota,18
PS6,Bacillota_G,12
PS6,JAGLTZ01,12
PS6,Bacillota_A,14
PS6,Desulfobacterota_D,16
PS6,unclassified,40
